State of Origin,Industry of Origin (ANZSIC06),Commodity by SITC,Frequency,Country of Destination,Time,Value,Flags
"Total","Total","TOTAL","Monthly","Total","Aug-2013",23570035.522,
"Total","Total","TOTAL","Monthly","Total","Sep-2013",22687546.13,
"Total","Total","TOTAL","Monthly","Total","Oct-2013",22706928.477,
"Total","Total","TOTAL","Monthly","Total","Nov-2013",21837776.745,
"Total","Total","TOTAL","Monthly","Total","Dec-2013",25540800.737,
"Total","Total","TOTAL","Monthly","Total","Jan-2014",21988839.055,
"Total","Total","TOTAL","Monthly","Total","Feb-2014",22446742.432,
"Total","Total","TOTAL","Monthly","Total","Mar-2014",24064546.257,
"Total","Total","TOTAL","Monthly","Total","Apr-2014",22518930.189,
"Total","Total","TOTAL","Monthly","Total","May-2014",22971818.359,
"Total","Total","TOTAL","Monthly","Cambodia","Aug-2013",3452.267,
"Total","Total","TOTAL","Monthly","Cambodia","Sep-2013",2457.901,
"Total","Total","TOTAL","Monthly","Cambodia","Oct-2013",1817.354,
"Total","Total","TOTAL","Monthly","Cambodia","Nov-2013",2996.72,
"Total","Total","TOTAL","Monthly","Cambodia","Dec-2013",2521.168,
"Total","Total","TOTAL","Monthly","Cambodia","Jan-2014",3502.957,
"Total","Total","TOTAL","Monthly","Cambodia","Feb-2014",3612.983,
"Total","Total","TOTAL","Monthly","Cambodia","Mar-2014",2608.443,
"Total","Total","TOTAL","Monthly","Cambodia","Apr-2014",2848.598,
"Total","Total","TOTAL","Monthly","Cambodia","May-2014",3556.391,
"Total","Total","TOTAL","Monthly","Georgia","Aug-2013",130.287,
"Total","Total","TOTAL","Monthly","Georgia","Sep-2013",524.902,
"Total","Total","TOTAL","Monthly","Georgia","Oct-2013",2791.459,
"Total","Total","TOTAL","Monthly","Georgia","Nov-2013",783.024,
"Total","Total","TOTAL","Monthly","Georgia","Dec-2013",4013.773,
"Total","Total","TOTAL","Monthly","Georgia","Jan-2014",630.719,
"Total","Total","TOTAL","Monthly","Georgia","Feb-2014",1843.374,
"Total","Total","TOTAL","Monthly","Georgia","Mar-2014",515.115,
"Total","Total","TOTAL","Monthly","Georgia","Apr-2014",236.762,
"Total","Total","TOTAL","Monthly","Georgia","May-2014",879.213,
"Total","Total","TOTAL","Monthly","Gibraltar","Oct-2013",10,
"Total","Total","TOTAL","Monthly","Gibraltar","Nov-2013",2.064,
"Total","Total","TOTAL","Monthly","Gibraltar","Feb-2014",3.096,
"Total","Total","TOTAL","Monthly","Gibraltar","Mar-2014",85.029,
"Total","Total","TOTAL","Monthly","Gibraltar","Apr-2014",19.636,
"Total","Total","TOTAL","Monthly","Gibraltar","May-2014",11.469,
"Total","Total","TOTAL","Monthly","Guatemala","Aug-2013",266.843,
"Total","Total","TOTAL","Monthly","Guatemala","Sep-2013",790.638,
"Total","Total","TOTAL","Monthly","Guatemala","Oct-2013",566.055,
"Total","Total","TOTAL","Monthly","Guatemala","Nov-2013",500.282,
"Total","Total","TOTAL","Monthly","Guatemala","Dec-2013",1128.144,
"Total","Total","TOTAL","Monthly","Guatemala","Jan-2014",430.925,
"Total","Total","TOTAL","Monthly","Guatemala","Feb-2014",248.248,
"Total","Total","TOTAL","Monthly","Guatemala","Mar-2014",316.332,
"Total","Total","TOTAL","Monthly","Guatemala","Apr-2014",1153.008,
"Total","Total","TOTAL","Monthly","Guatemala","May-2014",458.386,
"Total","Total","TOTAL","Monthly","Grenada","Feb-2014",11.369,
"Total","Total","TOTAL","Monthly","Grenada","Apr-2014",8.418,
"Total","Total","TOTAL","Monthly","Indonesia","Aug-2013",325793.756,
"Total","Total","TOTAL","Monthly","Indonesia","Sep-2013",350597.91,
"Total","Total","TOTAL","Monthly","Indonesia","Oct-2013",395336.692,
"Total","Total","TOTAL","Monthly","Indonesia","Nov-2013",488729.789,
"Total","Total","TOTAL","Monthly","Indonesia","Dec-2013",465792.894,
"Total","Total","TOTAL","Monthly","Indonesia","Jan-2014",344589.47,
